"","V1"
"1","DiodorusSic"
"2","Plutarch"
"3","Polybius"
"4","Hesiod"
"5","Herodotus"
"6","Thucydides"
"7","Herodotus"
"8","Aeschylus"
"9","Aeschylus"
"10","Sophocles"
"11","Iliad"
"12","Iliad"
"13","Odyssey"
"14","Sophocles"
"15","Athenaeus"
"16","Aeschylus"
"17","Plutarch"
"18","Iliad"
"19","Herodotus"
"20","Sophocles"
"21","Odyssey"
"22","Athenaeus"
"23","Odyssey"
"24","Plutarch"
"25","Sophocles"
"26","Herodotus"
"27","Polybius"
"28","Iliad"
"29","Sophocles"
"30","Aeschylus"
"31","Athenaeus"
"32","Odyssey"
"33","Herodotus"
"34","Odyssey"
"35","Athenaeus"
"36","Herodotus"
"37","Odyssey"
"38","Thucydides"
"39","Herodotus"
"40","Polybius"
"41","Odyssey"
"42","Athenaeus"
"43","Plutarch"
"44","Hesiod"
"45","Herodotus"
"46","Thucydides"
"47","Sophocles"
"48","Thucydides"
"49","Hesiod"
"50","Polybius"
"51","Herodotus"
"52","Odyssey"
"53","Hesiod"
"54","Sophocles"
"55","Polybius"
"56","Odyssey"
"57","DiodorusSic"
"58","Thucydides"
"59","Odyssey"
"60","Hesiod"
"61","Athenaeus"
"62","Herodotus"
"63","Aeschylus"
"64","Thucydides"
"65","Polybius"
"66","Aeschylus"
"67","DiodorusSic"
"68","Odyssey"
"69","Odyssey"
"70","Sophocles"
"71","Iliad"
"72","Polybius"
"73","DiodorusSic"
"74","Sophocles"
"75","Aeschylus"
"76","Iliad"
"77","Thucydides"
"78","Aeschylus"
"79","Herodotus"
"80","Plutarch"
"81","Polybius"
"82","Athenaeus"
"83","Iliad"
"84","Athenaeus"
"85","Plutarch"
"86","Plutarch"
"87","Iliad"
"88","Polybius"
"89","Iliad"
"90","Herodotus"
"91","Thucydides"
"92","DiodorusSic"
"93","Odyssey"
"94","Odyssey"
"95","DiodorusSic"
"96","Thucydides"
"97","Athenaeus"
"98","Polybius"
"99","Odyssey"
"100","Aeschylus"
"101","Thucydides"
"102","Athenaeus"
"103","Herodotus"
"104","Polybius"
"105","DiodorusSic"
"106","Odyssey"
"107","Sophocles"
"108","Odyssey"
"109","Athenaeus"
"110","Iliad"
"111","Iliad"
"112","Odyssey"
"113","Plutarch"
"114","DiodorusSic"
"115","Polybius"
"116","DiodorusSic"
"117","Aeschylus"
"118","DiodorusSic"
"119","Herodotus"
"120","Athenaeus"
"121","Iliad"
"122","Herodotus"
"123","Aeschylus"
"124","DiodorusSic"
"125","Herodotus"
"126","Aeschylus"
"127","Thucydides"
"128","Aeschylus"
"129","Plutarch"
"130","Iliad"
"131","DiodorusSic"
"132","Plutarch"
"133","DiodorusSic"
"134","Plutarch"
"135","DiodorusSic"
"136","Thucydides"
"137","Polybius"
"138","Athenaeus"
"139","Hesiod"
"140","Thucydides"
"141","Odyssey"
"142","Herodotus"
"143","Iliad"
"144","Aeschylus"
"145","Aeschylus"
"146","Plutarch"
"147","Iliad"
"148","Iliad"
"149","Thucydides"
"150","Aeschylus"
"151","DiodorusSic"
"152","Athenaeus"
"153","Iliad"
"154","Polybius"
"155","Herodotus"
"156","Odyssey"
"157","Herodotus"
"158","Sophocles"
"159","Sophocles"
"160","Herodotus"
"161","Thucydides"
"162","Thucydides"
"163","Thucydides"
"164","Aeschylus"
"165","Plutarch"
"166","Iliad"
"167","Athenaeus"
"168","Herodotus"
"169","Thucydides"
"170","Thucydides"
"171","Hesiod"
"172","Herodotus"
"173","Athenaeus"
"174","Polybius"
