"","V1","V2","V3","V4"
"1",2,1564,0.558571428571429,0.441428571428571
"2",4,1311,0.468214285714286,0.531785714285714
"3",6,1221,0.436071428571429,0.563928571428571
"4",8,1071,0.3825,0.6175
"5",10,936,0.334285714285714,0.665714285714286
"6",12,914,0.326428571428571,0.673571428571429
"7",14,825,0.294642857142857,0.705357142857143
"8",16,813,0.290357142857143,0.709642857142857
"9",18,746,0.266428571428571,0.733571428571429
"10",20,692,0.247142857142857,0.752857142857143
"11",22,674,0.240714285714286,0.759285714285714
"12",24,688,0.245714285714286,0.754285714285714
"13",26,648,0.231428571428571,0.768571428571429
"14",28,695,0.248214285714286,0.751785714285714
"15",30,661,0.236071428571429,0.763928571428571
"16",32,662,0.236428571428571,0.763571428571429
"17",34,617,0.220357142857143,0.779642857142857
"18",36,609,0.2175,0.7825
"19",38,561,0.200357142857143,0.799642857142857
"20",40,618,0.220714285714286,0.779285714285714
"21",42,561,0.200357142857143,0.799642857142857
"22",44,570,0.203571428571429,0.796428571428571
"23",46,528,0.188571428571429,0.811428571428571
"24",48,585,0.208928571428571,0.791071428571429
"25",50,519,0.185357142857143,0.814642857142857
"26",52,545,0.194642857142857,0.805357142857143
"27",54,523,0.186785714285714,0.813214285714286
"28",56,578,0.206428571428571,0.793571428571429
"29",58,398,0.142142857142857,0.857857142857143
"30",60,385,0.1375,0.8625
"31",62,415,0.148214285714286,0.851785714285714
"32",64,294,0.105,0.895
"33",66,292,0.104285714285714,0.895714285714286
"34",68,287,0.1025,0.8975
"35",70,257,0.0917857142857143,0.908214285714286
"36",72,304,0.108571428571429,0.891428571428571
"37",74,266,0.095,0.905
"38",76,269,0.0960714285714286,0.903928571428571
"39",78,284,0.101428571428571,0.898571428571429
"40",80,302,0.107857142857143,0.892142857142857
"41",82,297,0.106071428571429,0.893928571428571
"42",84,249,0.0889285714285714,0.911071428571429
"43",86,306,0.109285714285714,0.890714285714286
"44",88,284,0.101428571428571,0.898571428571429
"45",90,286,0.102142857142857,0.897857142857143
"46",92,299,0.106785714285714,0.893214285714286
"47",94,279,0.0996428571428571,0.900357142857143
"48",96,285,0.101785714285714,0.898214285714286
"49",98,297,0.106071428571429,0.893928571428571
"50",100,259,0.0925,0.9075
"51",102,280,0.1,0.9
"52",104,258,0.0921428571428571,0.907857142857143
"53",106,252,0.09,0.91
"54",108,266,0.095,0.905
"55",110,256,0.0914285714285714,0.908571428571429
"56",112,263,0.0939285714285714,0.906071428571429
"57",114,263,0.0939285714285714,0.906071428571429
"58",116,276,0.0985714285714286,0.901428571428571
"59",118,243,0.0867857142857143,0.913214285714286
"60",120,242,0.0864285714285714,0.913571428571429
"61",122,219,0.0782142857142857,0.921785714285714
"62",124,235,0.0839285714285714,0.916071428571429
"63",126,238,0.085,0.915
"64",128,254,0.0907142857142857,0.909285714285714
"65",130,274,0.0978571428571429,0.902142857142857
"66",132,257,0.0917857142857143,0.908214285714286
"67",134,238,0.085,0.915
"68",136,219,0.0782142857142857,0.921785714285714
"69",138,243,0.0867857142857143,0.913214285714286
"70",140,220,0.0785714285714286,0.921428571428571
"71",142,201,0.0717857142857143,0.928214285714286
"72",144,211,0.0753571428571429,0.924642857142857
"73",146,241,0.0860714285714286,0.913928571428571
"74",148,242,0.0864285714285714,0.913571428571429
"75",150,226,0.0807142857142857,0.919285714285714
"76",152,224,0.08,0.92
"77",154,208,0.0742857142857143,0.925714285714286
"78",156,247,0.0882142857142857,0.911785714285714
"79",158,223,0.0796428571428571,0.920357142857143
"80",160,261,0.0932142857142857,0.906785714285714
"81",162,212,0.0757142857142857,0.924285714285714
"82",164,211,0.0753571428571429,0.924642857142857
"83",166,212,0.0757142857142857,0.924285714285714
"84",168,219,0.0782142857142857,0.921785714285714
"85",170,220,0.0785714285714286,0.921428571428571
"86",172,232,0.0828571428571429,0.917142857142857
"87",174,212,0.0757142857142857,0.924285714285714
"88",176,231,0.0825,0.9175
"89",178,243,0.0867857142857143,0.913214285714286
"90",180,209,0.0746428571428571,0.925357142857143
"91",182,228,0.0814285714285714,0.918571428571429
"92",184,224,0.08,0.92
"93",186,214,0.0764285714285714,0.923571428571429
"94",188,235,0.0839285714285714,0.916071428571429
"95",190,230,0.0821428571428571,0.917857142857143
"96",192,235,0.0839285714285714,0.916071428571429
"97",194,220,0.0785714285714286,0.921428571428571
"98",196,219,0.0782142857142857,0.921785714285714
"99",198,244,0.0871428571428571,0.912857142857143
"100",200,258,0.0921428571428571,0.907857142857143
"101",202,238,0.085,0.915
"102",204,254,0.0907142857142857,0.909285714285714
"103",206,283,0.101071428571429,0.898928571428571
"104",208,243,0.0867857142857143,0.913214285714286
"105",210,250,0.0892857142857143,0.910714285714286
"106",212,273,0.0975,0.9025
"107",214,277,0.0989285714285714,0.901071428571429
"108",216,244,0.0871428571428571,0.912857142857143
"109",218,252,0.09,0.91
"110",220,235,0.0839285714285714,0.916071428571429
"111",222,234,0.0835714285714286,0.916428571428571
"112",224,231,0.0825,0.9175
"113",226,249,0.0889285714285714,0.911071428571429
"114",228,233,0.0832142857142857,0.916785714285714
"115",230,234,0.0835714285714286,0.916428571428571
"116",232,238,0.085,0.915
"117",234,265,0.0946428571428571,0.905357142857143
"118",236,254,0.0907142857142857,0.909285714285714
"119",238,235,0.0839285714285714,0.916071428571429
"120",240,285,0.101785714285714,0.898214285714286
"121",242,257,0.0917857142857143,0.908214285714286
"122",244,234,0.0835714285714286,0.916428571428571
"123",246,256,0.0914285714285714,0.908571428571429
"124",248,294,0.105,0.895
"125",250,255,0.0910714285714286,0.908928571428571
"126",252,265,0.0946428571428571,0.905357142857143
"127",254,241,0.0860714285714286,0.913928571428571
"128",256,294,0.105,0.895
"129",258,254,0.0907142857142857,0.909285714285714
"130",260,272,0.0971428571428571,0.902857142857143
"131",262,315,0.1125,0.8875
"132",264,280,0.1,0.9
"133",266,264,0.0942857142857143,0.905714285714286
"134",268,275,0.0982142857142857,0.901785714285714
"135",270,291,0.103928571428571,0.896071428571429
"136",272,266,0.095,0.905
"137",274,266,0.095,0.905
"138",276,292,0.104285714285714,0.895714285714286
"139",278,294,0.105,0.895
"140",280,290,0.103571428571429,0.896428571428571
"141",282,268,0.0957142857142857,0.904285714285714
"142",284,303,0.108214285714286,0.891785714285714
"143",286,299,0.106785714285714,0.893214285714286
"144",288,272,0.0971428571428571,0.902857142857143
"145",290,263,0.0939285714285714,0.906071428571429
"146",292,278,0.0992857142857143,0.900714285714286
"147",294,300,0.107142857142857,0.892857142857143
"148",296,253,0.0903571428571429,0.909642857142857
"149",298,279,0.0996428571428571,0.900357142857143
"150",300,331,0.118214285714286,0.881785714285714
"151",302,307,0.109642857142857,0.890357142857143
"152",304,278,0.0992857142857143,0.900714285714286
"153",306,307,0.109642857142857,0.890357142857143
"154",308,294,0.105,0.895
"155",310,299,0.106785714285714,0.893214285714286
"156",312,314,0.112142857142857,0.887857142857143
"157",314,307,0.109642857142857,0.890357142857143
"158",316,335,0.119642857142857,0.880357142857143
"159",318,325,0.116071428571429,0.883928571428571
"160",320,325,0.116071428571429,0.883928571428571
"161",322,312,0.111428571428571,0.888571428571429
"162",324,307,0.109642857142857,0.890357142857143
"163",326,348,0.124285714285714,0.875714285714286
"164",328,319,0.113928571428571,0.886071428571429
"165",330,304,0.108571428571429,0.891428571428571
"166",332,340,0.121428571428571,0.878571428571429
"167",334,320,0.114285714285714,0.885714285714286
"168",336,309,0.110357142857143,0.889642857142857
"169",338,323,0.115357142857143,0.884642857142857
"170",340,324,0.115714285714286,0.884285714285714
"171",342,303,0.108214285714286,0.891785714285714
"172",344,312,0.111428571428571,0.888571428571429
