"","x"
"1","#-auxk-u"
"2","#-auxk-u"
"3","#-pred-v"
"4","#-pred-v"
"5","#-pred-v-auxy-d"
"6","#-pred-v-auxy-d"
"7","#-coord-c-pred_co-v"
"8","#-coord-c-pred_co-v"
"9","#-coord-c"
"10","#-coord-c"
"11","#-coord-c-auxy-d"
"12","#-coord-c-auxy-d"
"13","#-pred-v-adv-v"
"14","#-pred-v-adv-v"
"15","#-pred-v-obj-n"
"16","#-pred-v-obj-n"
"17","#-pred-v-sbj-n"
"18","#-pred-v-sbj-n"
"19","#-pred-v-adv-d"
"20","#-pred-v-adv-d"
"21","#-pred-v-auxp-r"
"22","#-pred-v-auxp-r"
"23","#-coord-c-pred_co-v-obj-n"
"24","#-coord-c-pred_co-v-obj-n"
"25","#-pred-v-obj-p"
"26","#-pred-v-obj-p"
"27","#-pred-"
"28","#-pred-"
"29","#-pred-v-auxc-c"
"30","#-pred-v-auxc-c"
"31","#-coord-c-pred_co-v-auxp-r"
"32","#-coord-c-pred_co-v-auxp-r"
"33","#-pred-v-coord-c"
"34","#-pred-v-coord-c"
"35","#-coord-c-pred_co-v-sbj-n"
"36","#-coord-c-pred_co-v-sbj-n"
"37","#-coord-c-pred_co-v-adv-v"
"38","#-coord-c-pred_co-v-adv-v"
"39","#-pred-v-sbj-p"
"40","#-pred-v-sbj-p"
"41","#-coord-c-pred_co-v-adv-d"
"42","#-coord-c-pred_co-v-adv-d"
"43","#-pred-v-obj-v"
"44","#-pred-v-obj-v"
"45","#-pred-v-obj-n-atr-a"
"46","#-pred-v-obj-n-atr-a"
"47","#-pred-v-auxc-c-adv-v"
"48","#-pred-v-auxc-c-adv-v"
"49","#-pred-v-auxz-d"
"50","#-pred-v-auxz-d"
"51","#-pred-v-sbj-n-atr-a"
"52","#-pred-v-sbj-n-atr-a"
"53","#-pred-v-adv-v-obj-n"
"54","#-pred-v-adv-v-obj-n"
"55","#-pred-v-auxp-r-adv-n"
"56","#-pred-v-auxp-r-adv-n"
"57","#-coord-c-pred_co-v-auxy-d"
"58","#-coord-c-pred_co-v-auxy-d"
"59","#-coord-c-coord-c-pred_co-v"
"60","#-coord-c-coord-c-pred_co-v"
"61","#-coord-c-pred_co-v-obj-n-atr-a"
"62","#-coord-c-pred_co-v-obj-n-atr-a"
"63","#-coord-c-pred_co-v-obj-p"
"64","#-coord-c-pred_co-v-obj-p"
"65","#-pred--auxy-d"
"66","#-pred--auxy-d"
"67","#-pred-v-auxp-r-obj-n"
"68","#-pred-v-auxp-r-obj-n"
"69","#-pred-v-exd-n"
"70","#-pred-v-exd-n"
"71","#-pred-v-adv-n"
"72","#-pred-v-adv-n"
"73","#-coord-c-pred_co-v-auxz-d"
"74","#-coord-c-pred_co-v-auxz-d"
"75","#-pred-v-obj-a"
"76","#-pred-v-obj-a"
"77","#-pred-v-sbj-n-atr-n"
"78","#-pred-v-sbj-n-atr-n"
"79","#-pred-v-coord-c-adv_co-v"
"80","#-pred-v-coord-c-adv_co-v"
"81","#-pred-v-adv-v-auxp-r"
"82","#-pred-v-adv-v-auxp-r"
"83","#-coord-c-pred_co-v-auxp-r-obj-n"
"84","#-coord-c-pred_co-v-auxp-r-obj-n"
"85","#-pred-v-coord-c-auxy-d"
"86","#-pred-v-coord-c-auxy-d"
"87","#-coord-c-coord-c"
"88","#-coord-c-coord-c"
"89","#-coord-c-pred_co-v-sbj-p"
"90","#-coord-c-pred_co-v-sbj-p"
"91","#-pred-v-coord-c-obj_co-n"
"92","#-pred-v-coord-c-obj_co-n"
"93","#-pred-v-sbj-n-atr-l"
"94","#-pred-v-sbj-n-atr-l"
"95","#-coord-c-pred_co-v-auxp-r-adv-n"
"96","#-coord-c-pred_co-v-auxp-r-adv-n"
"97","#-coord-c-pred_co-v-obj-v"
"98","#-coord-c-pred_co-v-obj-v"
"99","#-coord-c-pred_co-v-sbj-n-atr-a"
"100","#-coord-c-pred_co-v-sbj-n-atr-a"
"101","#-pred-v-coord-c-sbj_co-n"
"102","#-pred-v-coord-c-sbj_co-n"
"103","#-coord-c-pred_co-v-coord-c"
"104","#-coord-c-pred_co-v-coord-c"
"105","#-pred-v-apos-u"
"106","#-pred-v-apos-u"
"107","#-pred-v-obj-n-atr-n"
"108","#-pred-v-obj-n-atr-n"
"109","#-coord-c-pred_co-"
"110","#-coord-c-pred_co-"
"111","#-auxk--"
"112","#-auxk--"
"113","#-pred-v-adv-v-adv-d"
"114","#-pred-v-adv-v-adv-d"
"115","#-pred-v-pnom-a"
"116","#-pred-v-pnom-a"
"117","#-pred-v-sbj-a"
"118","#-pred-v-sbj-a"
"119","#-pred-v-coord-c-obj_co-v"
"120","#-pred-v-coord-c-obj_co-v"
"121","#-pred-v-sbj-v"
"122","#-pred-v-sbj-v"
"123","#-pred-v-adv-v-obj-n-atr-a"
"124","#-pred-v-adv-v-obj-n-atr-a"
"125","#-coord-u-pred_co-v"
"126","#-coord-u-pred_co-v"
"127","#-pred-v-obj-n-atr-l"
"128","#-pred-v-obj-n-atr-l"
"129","#-coord-c-pred_co-v-adv-n"
"130","#-coord-c-pred_co-v-adv-n"
"131","#-coord-c-pred_co-v-adv-v-obj-n"
"132","#-coord-c-pred_co-v-adv-v-obj-n"
"133","#-pred-v-obj-v-obj-n"
"134","#-pred-v-obj-v-obj-n"
"135","#-pred--pnom-a"
"136","#-pred--pnom-a"
"137","#-pred-v-adv-a"
"138","#-pred-v-adv-a"
"139","#-pred-v-auxg-u"
"140","#-pred-v-auxg-u"
"141","#-pred-v-auxc-c-coord-c-adv_co-v"
"142","#-pred-v-auxc-c-coord-c-adv_co-v"
"143","#-pred-v-adv-p"
"144","#-pred-v-adv-p"
"145","#-pred-v-auxp-r-adv-n-atr-a"
"146","#-pred-v-auxp-r-adv-n-atr-a"
"147","#-coord-c-pred_co-v-coord-c-obj_co-n"
"148","#-coord-c-pred_co-v-coord-c-obj_co-n"
"149","#-pred--sbj-n"
"150","#-pred--sbj-n"
"151","#-coord-c-pred_co-v-obj-a"
"152","#-coord-c-pred_co-v-obj-a"
"153","#-pred-v-auxc-c-adv-v-obj-n"
"154","#-pred-v-auxc-c-adv-v-obj-n"
"155","#-coord-c-pred_co-v-obj-n-atr-l"
"156","#-coord-c-pred_co-v-obj-n-atr-l"
"157","#-coord-c-pred_co-v-auxc-c"
"158","#-coord-c-pred_co-v-auxc-c"
"159","#-pred-v-apos-u-sbj_ap-n"
"160","#-pred-v-apos-u-sbj_ap-n"
"161","#-coord-c-pred_co-v-auxz-r"
"162","#-coord-c-pred_co-v-auxz-r"
"163","#-pred-v-obj-n-atr-v"
"164","#-pred-v-obj-n-atr-v"
"165","#-pred-v-obj-v-auxp-r"
"166","#-pred-v-obj-v-auxp-r"
"167","#-coord-c-sbj-n"
"168","#-coord-c-sbj-n"
"169","#-pred-v-obj-n-atr-p"
"170","#-pred-v-obj-n-atr-p"
"171","#-pred-v-adv-v-auxp-r-adv-n"
"172","#-pred-v-adv-v-auxp-r-adv-n"
"173","#-coord-c-pred_co-v-adv-v-auxp-r"
"174","#-coord-c-pred_co-v-adv-v-auxp-r"
"175","#-pred-v-apos-"
"176","#-pred-v-apos-"
"177","#-coord-u"
"178","#-coord-u"
"179","#-pred-v-adv-v-coord-c-obj_co-n"
"180","#-pred-v-adv-v-coord-c-obj_co-n"
"181","#-coord-c-pred_co-v-obj-n-atr-n"
"182","#-coord-c-pred_co-v-obj-n-atr-n"
"183","#-pred-v-adv-n-atr-a"
"184","#-pred-v-adv-n-atr-a"
"185","#-pred-v-auxc-c-adv-v-sbj-n"
"186","#-pred-v-auxc-c-adv-v-sbj-n"
"187","#-coord-c-coord-c-auxy-d"
"188","#-coord-c-coord-c-auxy-d"
"189","#-coord-c-pred_co-v-adv-a"
"190","#-coord-c-pred_co-v-adv-a"
"191","#-pred-v-sbj-n-atr-v"
"192","#-pred-v-sbj-n-atr-v"
"193","#-coord-c-coord-c-pred_co-v-obj-n"
"194","#-coord-c-coord-c-pred_co-v-obj-n"
"195","#-pred-v-auxp-r-obj-n-atr-a"
"196","#-pred-v-auxp-r-obj-n-atr-a"
"197","#-pred-v-auxy-c"
"198","#-pred-v-auxy-c"
"199","#-pred-v-apos--sbj_ap-n"
"200","#-pred-v-apos--sbj_ap-n"
"201","#-coord-c-pred_co-v-sbj-n-atr-n"
"202","#-coord-c-pred_co-v-sbj-n-atr-n"
"203","#-pred--auxc-c"
"204","#-pred--auxc-c"
"205","#-coord-c-auxc-c"
"206","#-coord-c-auxc-c"
"207","#-pred-v-adv-v-adv-n"
"208","#-pred-v-adv-v-adv-n"
"209","#-pred-v-adv-v-coord-c"
"210","#-pred-v-adv-v-coord-c"
"211","#-pred-v-atvv-a"
"212","#-pred-v-atvv-a"
"213","#-pred-v-apos-u-obj_ap-n"
"214","#-pred-v-apos-u-obj_ap-n"
"215","#-coord-c-pred_co-v-auxc-c-adv-v"
"216","#-coord-c-pred_co-v-auxc-c-adv-v"
"217","#-pred-v-auxc-c-coord-c"
"218","#-pred-v-auxc-c-coord-c"
"219","#-pred-v-adv-v-auxp-r-obj-n"
"220","#-pred-v-adv-v-auxp-r-obj-n"
"221","#-pred-v-sbj-n-atr-p"
"222","#-pred-v-sbj-n-atr-p"
"223","#-coord-c-pred_co-v-sbj-n-atr-l"
"224","#-coord-c-pred_co-v-sbj-n-atr-l"
"225","#-pred-v-auxp-r-adv-p"
"226","#-pred-v-auxp-r-adv-p"
"227","#-pred-v-auxc-c-adv-v-auxy-d"
"228","#-pred-v-auxc-c-adv-v-auxy-d"
"229","#-pred-v-obj-v-obj-p"
"230","#-pred-v-obj-v-obj-p"
"231","#-undefined--"
"232","#-undefined--"
"233","#-pred-v-adv-v-obj-v"
"234","#-pred-v-adv-v-obj-v"
"235","#-coord-c-auxy-c"
"236","#-coord-c-auxy-c"
"237","#-pred-v-coord-c-adv_co-v-obj-n"
"238","#-pred-v-coord-c-adv_co-v-obj-n"
"239","#-pred-v-auxy-d-auxz-d"
"240","#-pred-v-auxy-d-auxz-d"
"241","#-coord-c-adv-v"
"242","#-coord-c-adv-v"
"243","#-pred-v-adv-v-obj-n-atr-n"
"244","#-pred-v-adv-v-obj-n-atr-n"
"245","#-pred-v-coord-c-obj_co-n-atr-a"
"246","#-pred-v-coord-c-obj_co-n-atr-a"
"247","#-coord-c-sbj-p"
"248","#-coord-c-sbj-p"
"249","#-pred-v-obj-v-adv-d"
"250","#-pred-v-obj-v-adv-d"
"251","#-pred-v-pnom-n"
"252","#-pred-v-pnom-n"
"253","#-pred-v-adv-d-auxz-d"
"254","#-pred-v-adv-d-auxz-d"
"255","#-pred-v-auxc-c-adv-v-auxp-r"
"256","#-pred-v-auxc-c-adv-v-auxp-r"
"257","#-coord-c-pred_co-v-coord-c-sbj_co-n"
"258","#-coord-c-pred_co-v-coord-c-sbj_co-n"
"259","#-pred-v-auxc-c-adv-v-obj-p"
"260","#-pred-v-auxc-c-adv-v-obj-p"
"261","#-pred-v-adv-v-sbj-n"
"262","#-pred-v-adv-v-sbj-n"
"263","#-coord-c-auxg-u"
"264","#-coord-c-auxg-u"
"265","#-coord-c-pred_co-v-auxp-r-obj-n-atr-a"
"266","#-coord-c-pred_co-v-auxp-r-obj-n-atr-a"
"267","#-coord-c-pred_co-v-adv-v-adv-d"
"268","#-coord-c-pred_co-v-adv-v-adv-d"
"269","#-pred-v-adv-v-obj-p"
"270","#-pred-v-adv-v-obj-p"
"271","#-pred-v-obj-d"
"272","#-pred-v-obj-d"
"273","#-pred-v-auxz-r"
"274","#-pred-v-auxz-r"
"275","#-pred--coord-c"
"276","#-pred--coord-c"
"277","#-coord-c-pred_co-v-pnom-a"
"278","#-coord-c-pred_co-v-pnom-a"
"279","#-pred-v-obj-v-sbj-p"
"280","#-pred-v-obj-v-sbj-p"
"281","#-pred--adv-v"
"282","#-pred--adv-v"
"283","#-pred-v-auxc-c-adv-v-adv-v"
"284","#-pred-v-auxc-c-adv-v-adv-v"
"285","#-pred-v-exd-n-auxz-e"
"286","#-pred-v-exd-n-auxz-e"
"287","#-coord-c-pred_co-v-coord-c-auxy-d"
"288","#-coord-c-pred_co-v-coord-c-auxy-d"
"289","#-pred-v-adv-v-obj-n-atr-l"
"290","#-pred-v-adv-v-obj-n-atr-l"
"291","#-pred-v-exd-n-atr-a"
"292","#-pred-v-exd-n-atr-a"
"293","#-coord-c-pred_co-v-sbj-a"
"294","#-coord-c-pred_co-v-sbj-a"
"295","#-pred-v-auxp-r-adv-n-atr-l"
"296","#-pred-v-auxp-r-adv-n-atr-l"
"297","#-pred-v-sbj-n-atv-a"
"298","#-pred-v-sbj-n-atv-a"
"299","#-coord-c-coord-c-pred_co-v-auxp-r"
"300","#-coord-c-coord-c-pred_co-v-auxp-r"
"301","#-pred--auxc-c-adv-v"
"302","#-pred--auxc-c-adv-v"
"303","#-pred-v-auxc-c-adv-v-auxz-d"
"304","#-pred-v-auxc-c-adv-v-auxz-d"
"305","#-pred-v-exd-a"
"306","#-pred-v-exd-a"
"307","#-coord-c-auxc-c-adv-v"
"308","#-coord-c-auxc-c-adv-v"
"309","#-coord-c-pred_co--sbj-n"
"310","#-coord-c-pred_co--sbj-n"
"311","#-pred-v-exd-n-atr-n"
"312","#-pred-v-exd-n-atr-n"
"313","#-coord-c-pred_co-v-coord-c-adv_co-v"
"314","#-coord-c-pred_co-v-coord-c-adv_co-v"
"315","#-pred--sbj-v"
"316","#-pred--sbj-v"
"317","#-pred-v-coord-c-sbj_co-n-atr-a"
"318","#-pred-v-coord-c-sbj_co-n-atr-a"
"319","#-pred-v-coord-c-obj_co-v-obj-n"
"320","#-pred-v-coord-c-obj_co-v-obj-n"
"321","#-pred-v-auxp-r-adv-a"
"322","#-pred-v-auxp-r-adv-a"
"323","#-pred-v-obj-v-sbj-n"
"324","#-pred-v-obj-v-sbj-n"
"325","#-pred-v-coord-c-sbj_co-v"
"326","#-pred-v-coord-c-sbj_co-v"
"327","#-pred-v-obj-v-obj-n-atr-a"
"328","#-pred-v-obj-v-obj-n-atr-a"
"329","#-coord-c-pred_co-v-atvv-a"
"330","#-coord-c-pred_co-v-atvv-a"
"331","#-pred-v-apos-u-coord-c-sbj_ap_co-n"
"332","#-pred-v-apos-u-coord-c-sbj_ap_co-n"
"333","#-pred-v-auxc-c-adv-v-adv-d"
"334","#-pred-v-auxc-c-adv-v-adv-d"
"335","#-pred-v-auxp-r-adv-n-atr-n"
"336","#-pred-v-auxp-r-adv-n-atr-n"
"337","#-coord-c-pred_co-v-adv-n-atr-a"
"338","#-coord-c-pred_co-v-adv-n-atr-a"
"339","#-pred--adv-d"
"340","#-pred--adv-d"
"341","#-coord-c-coord-c-pred_co-v-adv-v"
"342","#-coord-c-coord-c-pred_co-v-adv-v"
"343","#-pred-v-apos-u-sbj_ap-n-atr-a"
"344","#-pred-v-apos-u-sbj_ap-n-atr-a"
"345","#-coord-c-pred_co-v-auxp-r-adv-n-atr-a"
"346","#-coord-c-pred_co-v-auxp-r-adv-n-atr-a"
"347","#-pred-v-apos-u-coord-c-auxy-d"
"348","#-pred-v-apos-u-coord-c-auxy-d"
"349","#-pred-v-auxc-d"
"350","#-pred-v-auxc-d"
"351","#-pred-v-sbj-p-auxz-d"
"352","#-pred-v-sbj-p-auxz-d"
"353","#-pred-v-coord-c-adv_co-v-auxp-r"
"354","#-pred-v-coord-c-adv_co-v-auxp-r"
"355","#-coord-c-adv-d"
"356","#-coord-c-adv-d"
"357","#-coord-c-coord-c-adv_co-v"
"358","#-coord-c-coord-c-adv_co-v"
"359","#-pred-v-adv-v-auxz-d"
"360","#-pred-v-adv-v-auxz-d"
"361","#-coord-c-pred_co-v-obj-v-obj-n"
"362","#-coord-c-pred_co-v-obj-v-obj-n"
"363","#-coord-c-pred_co-v-adv-v-obj-n-atr-a"
"364","#-coord-c-pred_co-v-adv-v-obj-n-atr-a"
"365","#-pred-v-obj-v-adv-v"
"366","#-pred-v-obj-v-adv-v"
"367","#-pred-v-adv-v-obj-a"
"368","#-pred-v-adv-v-obj-a"
"369","#-coord-c-pred_co-v-adv-p"
"370","#-coord-c-pred_co-v-adv-p"
"371","#-pred-v-sbj-v-obj-n"
"372","#-pred-v-sbj-v-obj-n"
"373","#-pred-v-auxc-c-adv-v-obj-v"
"374","#-pred-v-auxc-c-adv-v-obj-v"
"375","#-pred-v-obj-v-auxp-r-adv-n"
"376","#-pred-v-obj-v-auxp-r-adv-n"
"377","#-pred--pnom-n"
"378","#-pred--pnom-n"
"379","#-coord-c-coord-c-pred_co-v-adv-d"
"380","#-coord-c-coord-c-pred_co-v-adv-d"
"381","#-pred-v-coord-c-auxp-r"
"382","#-pred-v-coord-c-auxp-r"
"383","#-pred-v-apos-u-obj_ap-n-atr-a"
"384","#-pred-v-apos-u-obj_ap-n-atr-a"
"385","#-pred-v-auxc-c-obj-v"
"386","#-pred-v-auxc-c-obj-v"
"387","#-pred--sbj-p"
"388","#-pred--sbj-p"
"389","#-pred-v-apos--obj_ap-n"
"390","#-pred-v-apos--obj_ap-n"
"391","#-coord-c-pred_co-v-obj-n-atr-v"
"392","#-coord-c-pred_co-v-obj-n-atr-v"
"393","#-pred-v-auxc-c-adv-v-sbj-p"
"394","#-pred-v-auxc-c-adv-v-sbj-p"
"395","#-coord-c-pred_co-v-obj-d"
"396","#-coord-c-pred_co-v-obj-d"
"397","#-coord-c-pred_co--pnom-a"
"398","#-coord-c-pred_co--pnom-a"
"399","#-pred-v-auxp-r-coord-c-adv_co-n"
"400","#-pred-v-auxp-r-coord-c-adv_co-n"
"401","#-pred-v-auxc-c-coord-c-adv_co-v-obj-n"
"402","#-pred-v-auxc-c-coord-c-adv_co-v-obj-n"
"403","#-pred-v-obj-v-obj-a"
"404","#-pred-v-obj-v-obj-a"
"405","#-pred-v-auxc-c-adv-v-obj-n-atr-a"
"406","#-pred-v-auxc-c-adv-v-obj-n-atr-a"
"407","#-pred-v-apos-u-coord-c"
"408","#-pred-v-apos-u-coord-c"
"409","#-coord-c-sbj-n-atr-l"
"410","#-coord-c-sbj-n-atr-l"
"411","#-pred-v-auxc-c-adv-v-coord-c"
"412","#-pred-v-auxc-c-adv-v-coord-c"
"413","#-pred-v-coord-c-coord-c"
"414","#-pred-v-coord-c-coord-c"
"415","#-coord-c-coord-c-pred_co-v-sbj-n"
"416","#-coord-c-coord-c-pred_co-v-sbj-n"
"417","#-pred--obj-v"
"418","#-pred--obj-v"
"419","#-pred-v-obj-n-atr-n-atr-a"
"420","#-pred-v-obj-n-atr-n-atr-a"
"421","#-coord-c-pred_co-v-adv-v-auxp-r-obj-n"
"422","#-coord-c-pred_co-v-adv-v-auxp-r-obj-n"
"423","#-pred-v-apos-u-exd_ap-n"
"424","#-pred-v-apos-u-exd_ap-n"
"425","#-coord-c-coord-c-pred_co-v-auxz-d"
"426","#-coord-c-coord-c-pred_co-v-auxz-d"
"427","#-coord-c-pred_co-v-sbj-n-atr-p"
"428","#-coord-c-pred_co-v-sbj-n-atr-p"
"429","#-pred-v-coord-c-adv_co-n"
"430","#-pred-v-coord-c-adv_co-n"
"431","#-pred-v-auxp-r-obj-n-atr-n"
"432","#-pred-v-auxp-r-obj-n-atr-n"
"433","#-pred--exd-n"
"434","#-pred--exd-n"
"435","#-pred-v-obj-v-coord-c"
"436","#-pred-v-obj-v-coord-c"
"437","#-pred-v-adv-v-adv-a"
"438","#-pred-v-adv-v-adv-a"
"439","#-pred--auxp-r"
"440","#-pred--auxp-r"
"441","#-pred-v-adv-v-coord-c-auxy-d"
"442","#-pred-v-adv-v-coord-c-auxy-d"
"443","#-pred-v-obj-a-atr-a"
"444","#-pred-v-obj-a-atr-a"
"445","#-coord-c-pred_co-v-coord-c-obj_co-v"
"446","#-coord-c-pred_co-v-coord-c-obj_co-v"
"447","#-pred-v-obj-a-atr-l"
"448","#-pred-v-obj-a-atr-l"
"449","#-coord-c-pred_co-v-auxp-r-adv-n-atr-l"
"450","#-coord-c-pred_co-v-auxp-r-adv-n-atr-l"
"451","#-pred-v-coord-c-auxy-c"
"452","#-pred-v-coord-c-auxy-c"
"453","#-coord-c-exd-n"
"454","#-coord-c-exd-n"
"455","#-pred-v-auxp-r-coord-c"
"456","#-pred-v-auxp-r-coord-c"
"457","#-pred-v-sbj-n-atr-n-atr-a"
"458","#-pred-v-sbj-n-atr-n-atr-a"
