"","x"
"1","frequency"
"2","z-score"
"3","frequency"
"4","z-score"
"5","frequency"
"6","z-score"
"7","frequency"
"8","z-score"
"9","frequency"
"10","z-score"
"11","frequency"
"12","z-score"
"13","frequency"
"14","z-score"
"15","frequency"
"16","z-score"
"17","frequency"
"18","z-score"
"19","frequency"
"20","z-score"
"21","frequency"
"22","z-score"
"23","frequency"
"24","z-score"
"25","frequency"
"26","z-score"
"27","frequency"
"28","z-score"
"29","frequency"
"30","z-score"
"31","frequency"
"32","z-score"
"33","frequency"
"34","z-score"
"35","frequency"
"36","z-score"
"37","frequency"
"38","z-score"
"39","frequency"
"40","z-score"
"41","frequency"
"42","z-score"
"43","frequency"
"44","z-score"
"45","frequency"
"46","z-score"
"47","frequency"
"48","z-score"
"49","frequency"
"50","z-score"
"51","frequency"
"52","z-score"
"53","frequency"
"54","z-score"
"55","frequency"
"56","z-score"
"57","frequency"
"58","z-score"
"59","frequency"
"60","z-score"
"61","frequency"
"62","z-score"
"63","frequency"
"64","z-score"
"65","frequency"
"66","z-score"
"67","frequency"
"68","z-score"
"69","frequency"
"70","z-score"
"71","frequency"
"72","z-score"
"73","frequency"
"74","z-score"
"75","frequency"
"76","z-score"
"77","frequency"
"78","z-score"
"79","frequency"
"80","z-score"
"81","frequency"
"82","z-score"
"83","frequency"
"84","z-score"
"85","frequency"
"86","z-score"
"87","frequency"
"88","z-score"
"89","frequency"
"90","z-score"
"91","frequency"
"92","z-score"
"93","frequency"
"94","z-score"
"95","frequency"
"96","z-score"
"97","frequency"
"98","z-score"
"99","frequency"
"100","z-score"
"101","frequency"
"102","z-score"
"103","frequency"
"104","z-score"
"105","frequency"
"106","z-score"
"107","frequency"
"108","z-score"
"109","frequency"
"110","z-score"
"111","frequency"
"112","z-score"
"113","frequency"
"114","z-score"
"115","frequency"
"116","z-score"
"117","frequency"
"118","z-score"
"119","frequency"
"120","z-score"
"121","frequency"
"122","z-score"
"123","frequency"
"124","z-score"
"125","frequency"
"126","z-score"
"127","frequency"
"128","z-score"
"129","frequency"
"130","z-score"
"131","frequency"
"132","z-score"
"133","frequency"
"134","z-score"
"135","frequency"
"136","z-score"
"137","frequency"
"138","z-score"
"139","frequency"
"140","z-score"
"141","frequency"
"142","z-score"
"143","frequency"
"144","z-score"
"145","frequency"
"146","z-score"
"147","frequency"
"148","z-score"
"149","frequency"
"150","z-score"
"151","frequency"
"152","z-score"
"153","frequency"
"154","z-score"
"155","frequency"
"156","z-score"
"157","frequency"
"158","z-score"
"159","frequency"
"160","z-score"
"161","frequency"
"162","z-score"
"163","frequency"
"164","z-score"
"165","frequency"
"166","z-score"
"167","frequency"
"168","z-score"
"169","frequency"
"170","z-score"
"171","frequency"
"172","z-score"
"173","frequency"
"174","z-score"
"175","frequency"
"176","z-score"
"177","frequency"
"178","z-score"
"179","frequency"
"180","z-score"
"181","frequency"
"182","z-score"
"183","frequency"
"184","z-score"
"185","frequency"
"186","z-score"
"187","frequency"
"188","z-score"
"189","frequency"
"190","z-score"
"191","frequency"
"192","z-score"
"193","frequency"
"194","z-score"
"195","frequency"
"196","z-score"
"197","frequency"
"198","z-score"
"199","frequency"
"200","z-score"
"201","frequency"
"202","z-score"
"203","frequency"
"204","z-score"
"205","frequency"
"206","z-score"
"207","frequency"
"208","z-score"
"209","frequency"
"210","z-score"
"211","frequency"
"212","z-score"
"213","frequency"
"214","z-score"
"215","frequency"
"216","z-score"
"217","frequency"
"218","z-score"
"219","frequency"
"220","z-score"
"221","frequency"
"222","z-score"
"223","frequency"
"224","z-score"
"225","frequency"
"226","z-score"
"227","frequency"
"228","z-score"
"229","frequency"
"230","z-score"
"231","frequency"
"232","z-score"
"233","frequency"
"234","z-score"
"235","frequency"
"236","z-score"
"237","frequency"
"238","z-score"
"239","frequency"
"240","z-score"
"241","frequency"
"242","z-score"
"243","frequency"
"244","z-score"
"245","frequency"
"246","z-score"
"247","frequency"
"248","z-score"
"249","frequency"
"250","z-score"
"251","frequency"
"252","z-score"
"253","frequency"
"254","z-score"
"255","frequency"
"256","z-score"
"257","frequency"
"258","z-score"
"259","frequency"
"260","z-score"
"261","frequency"
"262","z-score"
"263","frequency"
"264","z-score"
"265","frequency"
"266","z-score"
"267","frequency"
"268","z-score"
"269","frequency"
"270","z-score"
"271","frequency"
"272","z-score"
"273","frequency"
"274","z-score"
"275","frequency"
"276","z-score"
"277","frequency"
"278","z-score"
"279","frequency"
"280","z-score"
"281","frequency"
"282","z-score"
"283","frequency"
"284","z-score"
"285","frequency"
"286","z-score"
"287","frequency"
"288","z-score"
"289","frequency"
"290","z-score"
"291","frequency"
"292","z-score"
"293","frequency"
"294","z-score"
"295","frequency"
"296","z-score"
"297","frequency"
"298","z-score"
"299","frequency"
"300","z-score"
"301","frequency"
"302","z-score"
"303","frequency"
"304","z-score"
"305","frequency"
"306","z-score"
"307","frequency"
"308","z-score"
"309","frequency"
"310","z-score"
"311","frequency"
"312","z-score"
"313","frequency"
"314","z-score"
"315","frequency"
"316","z-score"
"317","frequency"
"318","z-score"
"319","frequency"
"320","z-score"
"321","frequency"
"322","z-score"
"323","frequency"
"324","z-score"
"325","frequency"
"326","z-score"
"327","frequency"
"328","z-score"
"329","frequency"
"330","z-score"
"331","frequency"
"332","z-score"
"333","frequency"
"334","z-score"
"335","frequency"
"336","z-score"
"337","frequency"
"338","z-score"
"339","frequency"
"340","z-score"
"341","frequency"
"342","z-score"
"343","frequency"
"344","z-score"
"345","frequency"
"346","z-score"
"347","frequency"
"348","z-score"
"349","frequency"
"350","z-score"
"351","frequency"
"352","z-score"
"353","frequency"
"354","z-score"
"355","frequency"
"356","z-score"
"357","frequency"
"358","z-score"
"359","frequency"
"360","z-score"
"361","frequency"
"362","z-score"
"363","frequency"
"364","z-score"
"365","frequency"
"366","z-score"
"367","frequency"
"368","z-score"
"369","frequency"
"370","z-score"
"371","frequency"
"372","z-score"
"373","frequency"
"374","z-score"
"375","frequency"
"376","z-score"
"377","frequency"
"378","z-score"
"379","frequency"
"380","z-score"
"381","frequency"
"382","z-score"
"383","frequency"
"384","z-score"
"385","frequency"
"386","z-score"
"387","frequency"
"388","z-score"
"389","frequency"
"390","z-score"
"391","frequency"
"392","z-score"
"393","frequency"
"394","z-score"
"395","frequency"
"396","z-score"
"397","frequency"
"398","z-score"
"399","frequency"
"400","z-score"
"401","frequency"
"402","z-score"
"403","frequency"
"404","z-score"
"405","frequency"
"406","z-score"
"407","frequency"
"408","z-score"
"409","frequency"
"410","z-score"
"411","frequency"
"412","z-score"
"413","frequency"
"414","z-score"
"415","frequency"
"416","z-score"
"417","frequency"
"418","z-score"
"419","frequency"
"420","z-score"
"421","frequency"
"422","z-score"
"423","frequency"
"424","z-score"
"425","frequency"
"426","z-score"
"427","frequency"
"428","z-score"
"429","frequency"
"430","z-score"
"431","frequency"
"432","z-score"
"433","frequency"
"434","z-score"
"435","frequency"
"436","z-score"
"437","frequency"
"438","z-score"
"439","frequency"
"440","z-score"
"441","frequency"
"442","z-score"
"443","frequency"
"444","z-score"
"445","frequency"
"446","z-score"
"447","frequency"
"448","z-score"
"449","frequency"
"450","z-score"
"451","frequency"
"452","z-score"
"453","frequency"
"454","z-score"
"455","frequency"
"456","z-score"
"457","frequency"
"458","z-score"
"459","frequency"
"460","z-score"
"461","frequency"
"462","z-score"
"463","frequency"
"464","z-score"
"465","frequency"
"466","z-score"
"467","frequency"
"468","z-score"
"469","frequency"
"470","z-score"
