"Aesch_Ag" "Aesch_Eumen" "Aesch_Pers" "Aesch_PromV" "Aesch_Supp" "Athenaeus_Book12" "Athenaeus_Book13" "DioSic_Book11" "Hdt_Book1" "Hesiod_Theog" "Hesiod_Works" "Homer_Iliad" "HomerJr_Odyssey" "Lysias_Book15" "Lysias1" "Lysias14" "Plato_Euth" "Plut_Lyc" "Polybius_Book1" "Soph_Ajax" "Soph_Elec" "Soph_Trach" "Thuc_Book1"
"auxk-root" 8.22965531307363 8.1974921630094 7.68740031897927 8.33097194672712 8.8082030593377 4.95316636122989 5.79234540566187 3.95389787097807 4.73584992413444 5.42807796693807 7.07390865869471 6.55406631377159 6.42859049771742 2.47093023255814 4.72829922371207 3.57015351660121 6.95423979006069 4.05304445274561 3.53756898259516 8.28583491661389 8.7806273238631 7.56854747337412 3.68075801749271
"pred-co-coord-root" 2.46787681011626 3.18181818181818 3.74800637958533 3.40039671294984 2.58867036476719 1.37955609855427 1.61315831092836 2.28909876740836 2.40470826244885 4.41648161855416 4.53825097248235 6.40102239647841 5.99521237307894 0.436046511627907 1.55257586450247 1.03534451981435 2.65704444808922 1.40082181546507 1.54238007641149 2.40658644711843 1.97349604347412 2.67391796963517 2.64577259475219
"coord-root" 2.30471140118295 2.25705329153605 3.30143540669856 2.0544063474072 2.06757438224912 0.712685807371207 0.802625336074648 1.20057627661277 1.29201342590464 3.84900074019245 4.7255438697594 4.21107438407712 4.18071956786773 0.290697674418605 0.917431192660551 0.535523027490182 3.08348368049861 0.756443780351139 0.845478986840243 1.82605024276969 1.60167794832682 1.81282574212554 1.37026239067055
"pred-root" 4.72159902100755 4.93730407523511 3.34928229665072 5.14310002833664 5.5807698772903 4.35756465078395 5.00158152775581 2.7533215943653 3.55878431192239 1.38169257340242 1.84411468088172 2.13867041124636 2.12684541660363 2.18023255813953 3.74029640084686 2.99892895394502 2.3454157782516 3.27792304818827 2.66732701287675 5.14038420941524 5.55820383258652 4.55472467709042 2.49271137026239
"obj-pred-co-coord-root" 1.55007138486641 1.61442006269592 2.15311004784689 1.82771323321054 1.41200201714574 0.671960904092853 0.810532974853709 1.32863774611814 1.35638420157249 2.49198124845793 3.09753637804351 3.7795536482041 3.77136856718251 0.581395348837209 0.917431192660551 0.49982149232417 1.44333278661637 0.700410907732536 0.887929814631385 1.27717964956724 1.04871770426161 1.55223204169499 1.31924198250729
"adv-pred-co-coord-root" 1.35631246175811 1.28526645768025 1.8341307814992 1.30348540663077 1.00857286938981 0.473427000610874 0.648426379882967 1.13654554186009 1.30120925100005 2.68936590180114 2.52125054026797 4.08879702747691 3.51774892545362 0.290697674418605 0.741002117148906 0.285612281328097 0.885681482696408 0.541651101979828 0.813640865996887 1.60439096474562 0.858041758032224 1.00838431905733 1.31924198250729
"auxy-pred-root" 2.89618600856618 3.1974921630094 1.91387559808612 3.06035704165486 3.63086232980333 3.64996945632254 3.79566661394907 3.13750600288138 3.10359096969976 1.17197137922527 1.70004322143783 1.86334913735297 1.80203429649471 2.61627906976744 4.05786873676782 3.32024277043913 1.98458258159751 3.26858423608517 2.92910711758879 3.08211948490606 3.75631614071885 2.82121006118287 2.74052478134111
"adv-pred-root" 2.44748113399959 2.50783699059561 1.77033492822966 2.13941626523094 2.63909900823668 1.93952351863164 2.40392218883441 2.11301424683848 2.24378132327923 1.34468295090057 1.64241463766028 1.76789391058764 1.70147633328291 0.436046511627907 2.04657727593507 1.1781506604784 0.524848286042316 1.8677624206201 2.4869109947644 3.05045387375976 2.51692249022786 2.26603217765692 1.44314868804665
"obj-pred-root" 2.96757087497451 3.4012539184953 1.89792663476874 4.12298101445169 3.34510001680955 2.01079209936876 2.65301281037482 1.6167760525052 2.12423559703894 0.900567480878362 0.936464486385247 1.48468377497811 1.48612211118329 1.45348837209302 2.01129146083275 1.78507675830061 1.36132524192226 1.67164736645499 1.34073864440357 3.10322989233692 3.16522070740776 2.57194652164061 1.21720116618076
"sbj-pred-co-coord-root" 1.05037732000816 0.956112852664577 1.59489633173844 0.779257580051006 0.840477391158178 0.488698839340257 0.597026727819073 1.15255322554826 1.07131362361488 2.20824080927708 1.71445036738222 2.86839011998959 2.38936399313002 0.145348837209302 0.458715596330275 0.178507675830061 0.68886337543054 0.541651101979828 0.378519881137682 0.92885792695799 0.533892649442273 0.691139814185361 0.925655976676385
"auxy-coord-root" 0.448704874566592 0.768025078369906 1.21212121212121 0.892604137149334 0.537905530341234 0.743229484829974 0.759133322789815 2.01696814470946 1.62766104188698 1.06094251171971 1.26782884310618 2.1299926633586 1.83051088784672 0.436046511627907 1.23500352858151 0.856836843984291 0.672461866491717 0.924542398206948 1.36903919626433 0.443318556048132 0.657832014491372 0.940403353727623 1.88775510204082
"sbj-pred-root" 1.95798490719967 1.5987460815047 1.33971291866029 1.68603003683763 2.1684316691881 2.48930971288943 3.00094891665349 1.50472226668801 2.0690606464665 0.666173205033309 0.994093070162801 1.02791868161343 0.919259964582239 0.872093023255814 1.51729004940014 1.24955373081042 0.721666393308184 1.68098617855809 1.46809112777699 2.02659911336289 1.72561731337592 1.63154316791298 1.34110787172012
"auxx-coord-root" 0.418111360391597 0.893416927899687 0.956937799043062 1.04845565315954 0.52109598251807 0.127265322744858 0.00790763877906057 0.0160076836881703 0.0321853878339234 1.17197137922527 1.13816452960668 2.37218071804419 2.03429649470958 0.145348837209302 0 0 0.656060357552895 0 0.00353756898259516 0.591091408064176 0.533892649442273 0.815771583956492 0
"atr-obj-pred-co-coord-root" 0.836222720783194 0.846394984326019 1.25996810207337 1.28931708699348 0.890906034627668 0.529423742618611 0.600980547208603 1.13654554186009 0.841417996229712 1.43103873673822 1.46952888632762 1.37029528009404 1.21559449333915 0.290697674418605 0.529287226534933 0.321313816494109 0.410037723470559 0.513634665670527 0.792415452101316 0.696643445218493 0.467156068261989 0.8837525492862 1.0131195335277
"atr-sbj-pred-co-coord-root" 0.591474607383235 0.736677115987461 1.21212121212121 0.623406064040805 0.571524625987561 0.315618000407249 0.423058674679741 1.00848407235473 0.795438870752678 1.35701949173452 0.965278778274024 1.55647241659501 1.18622800850738 0 0.282286520818631 0.107104605498036 0.393636214531737 0.39223010833022 0.371444743172492 0.411652944901837 0.381351892458766 0.464536596419669 0.728862973760933
"auxp-pred-co-coord-root" 0.418111360391597 0.61128526645768 0.653907496012759 0.340039671294984 0.554715078164397 0.381795968234575 0.399335758342559 0.97646870497839 0.629914019035358 1.56674068591167 0.965278778274024 1.49888372606717 1.27788703692168 0 0.176429075511644 0.178507675830061 0.328030178776447 0.242809114680613 0.640299985849724 0.327211315178383 0.276480122032606 0.351234987536823 0.852769679300292
"atr-sbj-pred-root" 1.23393840505813 0.705329153605016 1.30781499202552 0.920940776423916 1.51285930408472 2.19914477703115 2.37229163371817 1.26460701136546 1.73341303048416 0.419442388354305 0.331364356720934 0.509620466862836 0.412020681124469 0 0.741002117148906 0.392716886826134 0.34443168771527 1.16735151288756 1.2416867128909 1.05552037154317 0.772237582229002 1.14434624971675 1.00583090379009
"atr-obj-pred-root" 1.65204976544972 1.63009404388715 1.05263157894737 2.23859450269198 2.23566986048075 0.96212583995113 1.59338921398071 1.31263006242997 0.965561635017702 0.592153960029608 0.446621524276041 0.594031287225566 0.532156300890783 0.145348837209302 0.917431192660551 0.464119957158158 0.295227160898803 0.915203586103848 0.965756332248479 1.23495883470551 1.13452188006483 1.1783367323816 0.459183673469388
"auxp-pred-root" 0.856618396899857 0.736677115987461 0.462519936204147 0.637574383678096 1.09262060850563 1.55263693748727 1.57362011703305 0.99247638866656 0.947169984826889 0.456452010856156 0.518657253997983 0.46070952422275 0.465414289909498 0.145348837209302 0.564573041637262 0.249910746162085 0.229621125143513 0.756443780351139 1.33366350643838 0.696643445218493 0.705501001048718 0.555177883525946 0.65597667638484
