"Aesch_Cho" "Aesch_Septem" "Soph_Antig" "Soph_OT"
"auxk-root" 8.7288264916832 8.32798459563543 7.79339504056679 8.30576665176576
"pred-co-coord-root" 2.97573630398291 3.35365853658537 2.41115301108445 1.86857398301296
"coord-root" 2.21272699526934 2.48716302952503 1.86264426922637 1.35002235136343
"pred-root" 5.32580497482069 4.60526315789474 4.70803336761513 5.409029950827
"obj-pred-co-coord-root" 1.73966122386693 1.50834403080873 1.39412638555594 1.03710326329906
"adv-pred-co-coord-root" 1.29711582481306 1.42811296534018 1.29128099645755 0.688421993741618
"auxy-pred-root" 3.52510300625668 2.56739409499358 3.19963432750543 3.82655341975861
"adv-pred-root" 2.45688997405768 2.13414634146341 2.14832590561079 2.7179257934734
"obj-pred-root" 3.32672058599115 2.74390243902439 2.63969832019198 3.10236924452392
"sbj-pred-co-coord-root" 1.02243247367618 1.39602053915276 0.685635927322592 0.536432722396066
"auxy-coord-root" 0.595147260796582 0.882541720154044 0.82276311278711 0.661600357621815
"sbj-pred-root" 1.84648252708683 1.90949935815148 1.88549880013713 1.8596334376397
"auxx-coord-root" 0.778269494887838 1.21951219512195 0.777054050965604 0.634778721502012
"atr-obj-pred-co-coord-root" 0.717228750190752 0.866495507060334 0.662781396411839 0.572194903889137
"atr-sbj-pred-co-coord-root" 0.854570425759194 0.882541720154044 0.354245229116672 0.384443451050514
"auxp-pred-co-coord-root" 0.366244468182512 0.754172015404365 0.319963432750543 0.259275815824765
"atr-sbj-pred-root" 1.06821303219899 1.01091142490372 0.959890298251628 1.01922217255253
"atr-obj-pred-root" 1.84648252708683 1.4602053915276 1.30270826191292 1.14438980777827
"auxp-pred-root" 0.91561117045628 0.818356867779204 0.628499600045709 0.75994635672776
"auxy-pred-co-coord-root" 0.381504654356783 0.353016688061617 0.491372414581191 0.277156906571301
"auxz-pred-co-coord-root" 0.274683351136884 0.385109114249037 0.365672494572049 0.339740724184175
"auxc-pred-root" 0.793529681062109 0.417201540436457 0.674208661867215 0.902995082700045
"auxx-auxc-pred-root" 0.717228750190752 0.336970474967908 0.537081476402697 0.902995082700045
"coord-pred-root" 0.503586143750954 0.513478818998716 0.502799680036567 0.536432722396066
"obj-auxp-pred-co-coord-root" 0.183122234091256 0.208600770218229 0.205690778196778 0.125167635225749
"adv-auxp-pred-co-coord-root" 0.167862047916985 0.513478818998716 0.125699920009142 0.107286544479213
"adv-auxp-pred-root" 0.473065771402411 0.401155327342747 0.365672494572049 0.375502905677246
"obj-adv-pred-root" 0.640927819319396 0.577663671373556 0.479945149125814 0.393383996423782
"adv-auxc-pred-root" 0.518846329925225 0.304878048780488 0.434236087304308 0.724184175234689
"auxz-pred-root" 0.381504654356783 0.529525032092426 0.811335847331733 0.92087617344658
"obj-adv-pred-co-coord-root" 0.320463909659698 0.417201540436457 0.29710890183979 0.116227089852481
"coord-pred-co-coord-root" 0.167862047916985 0.128369704749679 0.171408981830648 0.125167635225749
