,Mean Freq,Thuc_Book1,Aesch_Ag,Aesch_Cho,Aesch_Eumen,Aesch_Pers,Aesch_PromV,Aesch_Septem,Aesch_Supp,Athenaeus_Book12,Athenaeus_Book13,DioSic_Book11,Hdt_Book1,Hesiod_Theog,Hesiod_Works,Homer_Iliad,HomerJr_Odyssey,Lysias_Orat1,Lysias_Orat14,Plato_Euth,Plut_Lyc,Polybius_Book1,Soph_Ajax,Soph_Antig,Soph_Elec,Soph_OT,Soph_Trach
auxk-root,6.557,3.680758017,8.229655313,8.728826492,8.197492163,7.687400319,8.330971947,8.327984596,8.808203059,4.953166361,5.792345406,3.953897871,4.735849924,5.428077967,7.073908659,6.554066314,6.428590498,4.728299224,3.570153517,6.95423979,4.053044453,3.537568983,8.285834917,7.793395041,8.780627324,8.305766652,7.568547473
pred-co-coord-root,2.805,2.645772595,2.46787681,2.975736304,3.181818182,3.74800638,3.400396713,3.353658537,2.588670365,1.379556099,1.613158311,2.289098767,2.404708262,4.416481619,4.538250972,6.401022396,5.995212373,1.552575865,1.03534452,2.657044448,1.400821815,1.542380076,2.406586447,2.411153011,1.973496043,1.868573983,2.67391797
pred-root,3.835,2.49271137,4.721599021,5.325804975,4.937304075,3.349282297,5.143100028,4.605263158,5.580769877,4.357564651,5.001581528,2.753321594,3.558784312,1.381692573,1.844114681,2.138670411,2.126845417,3.740296401,2.998928954,2.345415778,3.277923048,2.667327013,5.140384209,4.708033368,5.558203833,5.409029951,4.554724677
coord-root,2.062,1.370262391,2.304711401,2.212726995,2.257053292,3.301435407,2.054406347,2.48716303,2.067574382,0.712685807,0.802625336,1.200576277,1.292013426,3.84900074,4.72554387,4.211074384,4.180719568,0.917431193,0.535523027,3.08348368,0.75644378,0.845478987,1.826050243,1.862644269,1.601677948,1.350022351,1.812825742
obj-pred-co-coord-root,1.584,1.319241983,1.550071385,1.739661224,1.614420063,2.153110048,1.827713233,1.508344031,1.412002017,0.671960904,0.810532975,1.328637746,1.356384202,2.491981248,3.097536378,3.779553648,3.771368567,0.917431193,0.499821492,1.443332787,0.700410908,0.887929815,1.27717965,1.394126386,1.048717704,1.037103263,1.552232042
auxy-pred-root,2.923,2.740524781,2.896186009,3.525103006,3.197492163,1.913875598,3.060357042,2.567394095,3.63086233,3.649969456,3.795666614,3.137506003,3.10359097,1.171971379,1.700043221,1.863349137,1.802034296,4.057868737,3.32024277,1.984582582,3.268584236,2.929107118,3.082119485,3.199634328,3.756316141,3.82655342,2.821210061
adv-pred-co-coord-root,1.382,1.319241983,1.356312462,1.297115825,1.285266458,1.834130781,1.303485407,1.428112965,1.008572869,0.473427001,0.64842638,1.136545542,1.301209251,2.689365902,2.52125054,4.088797027,3.517748925,0.741002117,0.285612281,0.885681483,0.541651102,0.813640866,1.604390965,1.291280996,0.858041758,0.688421994,1.008384319
adv-pred-root,2.058,1.443148688,2.447481134,2.456889974,2.507836991,1.770334928,2.139416265,2.134146341,2.639099008,1.939523519,2.403922189,2.113014247,2.243781323,1.344682951,1.642414638,1.767893911,1.701476333,2.046577276,1.17815066,0.524848286,1.867762421,2.486910995,3.050453874,2.148325906,2.51692249,2.717925793,2.266032178
obj-pred-root,2.269,1.217201166,2.967570875,3.326720586,3.401253918,1.897926635,4.122981014,2.743902439,3.345100017,2.010792099,2.65301281,1.616776053,2.124235597,0.900567481,0.936464486,1.484683775,1.486122111,2.011291461,1.785076758,1.361325242,1.671647366,1.340738644,3.103229892,2.63969832,3.165220707,3.102369245,2.571946522
sbj-pred-co-coord-root,1.026,0.925655977,1.05037732,1.022432474,0.956112853,1.594896332,0.77925758,1.396020539,0.840477391,0.488698839,0.597026728,1.152553226,1.071313624,2.208240809,1.714450367,2.86839012,2.389363993,0.458715596,0.178507676,0.688863375,0.541651102,0.378519881,0.928857927,0.685635927,0.533892649,0.536432722,0.691139814
auxy-coord-root,1.048,1.887755102,0.448704875,0.595147261,0.768025078,1.212121212,0.892604137,0.88254172,0.53790553,0.743229485,0.759133323,2.016968145,1.627661042,1.060942512,1.267828843,2.129992663,1.830510888,1.235003529,0.856836844,0.672461866,0.924542398,1.369039196,0.443318556,0.822763113,0.657832014,0.661600358,0.940403354
sbj-pred-root,1.626,1.341107872,1.957984907,1.846482527,1.598746082,1.339712919,1.686030037,1.909499358,2.168431669,2.489309713,3.000948917,1.504722267,2.069060646,0.666173205,0.99409307,1.027918682,0.919259965,1.517290049,1.249553731,0.721666393,1.680986179,1.468091128,2.026599113,1.8854988,1.725617313,1.859633438,1.631543168
auxx-coord-root,0.644,0,0.41811136,0.778269495,0.893416928,0.956937799,1.048455653,1.219512195,0.521095983,0.127265323,0.007907639,0.016007684,0.032185388,1.171971379,1.13816453,2.372180718,2.034296495,0,0,0.656060358,0,0.003537569,0.591091408,0.777054051,0.533892649,0.634778722,0.815771584
atr-obj-pred-co-coord-root,0.852,1.013119534,0.836222721,0.71722875,0.846394984,1.259968102,1.289317087,0.866495507,0.890906035,0.529423743,0.600980547,1.136545542,0.841417996,1.431038737,1.469528886,1.37029528,1.215594493,0.529287227,0.321313816,0.410037723,0.513634666,0.792415452,0.696643445,0.662781396,0.467156068,0.572194904,0.883752549
atr-sbj-pred-co-coord-root,0.667,0.728862974,0.591474607,0.854570426,0.736677116,1.212121212,0.623406064,0.88254172,0.571524626,0.315618,0.423058675,1.008484072,0.795438871,1.357019492,0.965278778,1.556472417,1.186228009,0.282286521,0.107104605,0.393636215,0.392230108,0.371444743,0.411652945,0.354245229,0.381351892,0.384443451,0.464536596
auxp-pred-co-coord-root,0.590,0.852769679,0.41811136,0.366244468,0.611285266,0.653907496,0.340039671,0.754172015,0.554715078,0.381795968,0.399335758,0.976468705,0.629914019,1.566740686,0.965278778,1.498883726,1.277887037,0.176429076,0.178507676,0.328030179,0.242809115,0.640299986,0.327211315,0.319963433,0.276480122,0.259275816,0.351234988
atr-sbj-pred-root,1.033,1.005830904,1.233938405,1.068213032,0.705329154,1.307814992,0.920940776,1.010911425,1.512859304,2.199144777,2.372291634,1.264607011,1.73341303,0.419442388,0.331364357,0.509620467,0.412020681,0.741002117,0.392716887,0.344431688,1.167351513,1.241686713,1.055520372,0.959890298,0.772237582,1.019222173,1.14434625
atr-obj-pred-root,1.120,0.459183673,1.652049765,1.846482527,1.630094044,1.052631579,2.238594503,1.460205392,2.23566986,0.96212584,1.593389214,1.312630062,0.965561635,0.59215396,0.446621524,0.594031287,0.532156301,0.917431193,0.464119957,0.295227161,0.915203586,0.965756332,1.234958835,1.302708262,1.13452188,1.144389808,1.178336732
auxp-pred-root,0.755,0.655976676,0.856618397,0.91561117,0.736677116,0.462519936,0.637574384,0.818356868,1.092620609,1.552636937,1.573620117,0.992476389,0.947169985,0.456452011,0.518657254,0.460709524,0.46541429,0.564573042,0.249910746,0.229621125,0.75644378,1.333663506,0.696643445,0.6284996,0.705501001,0.759946357,0.555177884
auxy-pred-co-coord-root,0.355,0.102040816,0.346726494,0.381504654,0.501567398,0.398724083,0.297534712,0.353016688,0.353000504,0.076359194,0.027676736,0.032015367,0.110349901,0.900567481,0.475435816,1.150984924,1.110587063,0,0,0.738067902,0.037355248,0.045988397,0.411652945,0.491372415,0.314615311,0.277156907,0.305914344
