"Homer_Iliad" "HomerJr_Odyssey"
"auxk-root" 6.55406631377159 6.42859049771742
"pred-co-coord-root" 6.40102239647841 5.99521237307894
"coord-root" 4.21107438407712 4.18071956786773
"adv-pred-co-coord-root" 4.08879702747691 3.51774892545362
"obj-pred-co-coord-root" 3.7795536482041 3.77136856718251
"sbj-pred-co-coord-root" 2.86839011998959 2.38936399313002
"auxx-coord-root" 2.37218071804419 2.03429649470958
"pred-root" 2.13867041124636 2.12684541660363
"auxy-coord-root" 2.1299926633586 1.83051088784672
"auxy-pred-root" 1.86334913735297 1.80203429649471
"adv-pred-root" 1.76789391058764 1.70147633328291
"obj-pred-root" 1.48468377497811 1.48612211118329
"auxp-pred-co-coord-root" 1.49888372606717 1.27788703692168
"atr-sbj-pred-co-coord-root" 1.55647241659501 1.18622800850738
"atr-obj-pred-co-coord-root" 1.37029528009404 1.21559449333915
"auxy-pred-co-coord-root" 1.15098492438526 1.11058706272859
"sbj-pred-root" 1.02791868161343 0.919259964582239
"auxz-pred-co-coord-root" 0.953763381481686 0.97710304076602
"obj-auxp-pred-co-coord-root" 0.780997309898155 0.722593505557385
"atr-obj-pred-root" 0.594031287225566 0.532156300890783
"adv-auxp-pred-co-coord-root" 0.643731116037267 0.475203118186753
"obj-adv-pred-co-coord-root" 0.57273136059198 0.439607378996734
"auxc-pred-root" 0.411798581582663 0.549064277006042
"atr-sbj-pred-root" 0.509620466862836 0.412020681124469
"auxp-pred-root" 0.46070952422275 0.465414289909498
"coord-pred-co-coord-root" 0.401543061351678 0.473423331227252
"obj-co-coord-pred-co-coord-root" 0.383398679404549 0.476093011666504
"auxc-pred-co-coord-root" 0.407854150724592 0.439607378996734
"auxx-auxc-pred-root" 0.311610037787648 0.512578644336273
"adv-adv-pred-co-coord-root" 0.442565142275621 0.268747830884643
"adv-auxc-pred-root" 0.30845449310119 0.403121746326965
"auxz-pred-root" 0.300565631385047 0.411130787644719
"pred-co-coord-coord-root" 0.277687932408233 0.423589296361226
"auxg-pred-root" 0.0425998532671721 0.67542915113061
"auxx-auxc-pred-co-coord-root" 0.277687932408233 0.407571213725717
"atr-obj-auxp-pred-co-coord-root" 0.353421004883205 0.316802078791169
"exd-pred-root" 0.303721176071505 0.369305794096447
"adv-auxc-pred-co-coord-root" 0.300565631385047 0.320361652710171
