"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1",347,"Hdt","Plutarch","Athenaeus","Sophocles","Odyssey","Polybius","Iliad","Lysias","Aeschylus","Thucydides","Diodorus","Hesiod"
"2",348,"1","1.74e-11","1.5e-18","1.29e-36","1.56e-39","2.97e-41","9.94e-53","6.92e-56","3.42e-61","1.04e-62","2.8e-121","7.19e-208"
"3",349,"Iliad","Odyssey","Hesiod","Sophocles","Aeschylus","Hdt","Athenaeus","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"4",350,"0.999995457","4.54e-06","5.97e-82","6.62e-88","3.29e-94","1.26e-120","7.45e-242","0","0","0","0","0"
"5",351,"Athenaeus","Plutarch","Polybius","Aeschylus","Hesiod","Sophocles","Hdt","Iliad","Odyssey","Thucydides","Diodorus","Lysias"
"6",352,"1","4.95e-59","6.9e-63","2.67e-64","1.13e-66","1.22e-75","1.93e-79","1.62e-85","9.63e-102","2.4e-119","1.25e-296","0"
"7",353,"Hdt","Athenaeus","Polybius","Iliad","Odyssey","Sophocles","Thucydides","Plutarch","Aeschylus","Hesiod","Diodorus","Lysias"
"8",354,"1","8.86e-11","6.97e-30","7.19e-35","8.46e-39","5.53e-39","7.21e-43","3.58e-43","4.04e-46","3.74e-53","1.44e-107","8.84e-139"
"9",355,"Hesiod","Iliad","Odyssey","Aeschylus","Sophocles","Athenaeus","Hdt","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"10",356,"0.99979956","0.00020044","1.29e-16","7.39e-41","8.06e-43","7.71e-65","2.84e-81","1.6e-98","3.57e-177","4.29e-194","0","0"
"11",357,"Odyssey","Iliad","Sophocles","Hesiod","Hdt","Aeschylus","Athenaeus","Thucydides","Polybius","Lysias","Diodorus","Plutarch"
"12",358,"1","2.4e-20","3.54e-46","7.87e-57","3.05e-57","6.77e-73","2.82e-159","2.52e-218","4.64e-249","2.26e-297","0","0"
"13",359,"Diodorus","Plutarch","Thucydides","Polybius","Hdt","Hesiod","Iliad","Sophocles","Odyssey","Athenaeus","Aeschylus","Lysias"
"14",360,"0.956445796","0.043553953","1.28e-07","1.23e-07","6.61e-20","2.89e-49","1.8e-63","3.58e-72","1.22e-72","4.07e-100","4.83e-160","6.83e-203"
"15",361,"Hdt","Athenaeus","Polybius","Plutarch","Sophocles","Iliad","Odyssey","Aeschylus","Thucydides","Hesiod","Diodorus","Lysias"
"16",362,"1","4.34e-12","2.15e-24","8.27e-25","1.5e-35","4.55e-44","2.87e-59","3.2e-60","7.24e-68","4.6e-69","1.37e-74","1.18e-113"
"17",363,"Hesiod","Odyssey","Aeschylus","Iliad","Sophocles","Diodorus","Athenaeus","Hdt","Lysias","Plutarch","Polybius","Thucydides"
"18",364,"1","1.77e-61","6.01e-67","7.13e-75","7.54e-199","3.54e-218","1.03e-296","0","0","0","0","0"
"19",365,"Athenaeus","Aeschylus","Sophocles","Hdt","Odyssey","Iliad","Hesiod","Plutarch","Polybius","Thucydides","Diodorus","Lysias"
"20",366,"1","1.52e-37","1.6e-42","2.42e-82","2.69e-84","1.07e-86","4.16e-94","1.57e-104","7.46e-110","1.37e-219","0","0"
"21",367,"Polybius","Diodorus","Hdt","Athenaeus","Plutarch","Thucydides","Sophocles","Iliad","Hesiod","Aeschylus","Odyssey","Lysias"
"22",368,"1","6.56e-51","5.06e-55","1.8e-57","4.91e-60","9.72e-80","2.56e-81","1.94e-93","7.15e-100","1.68e-117","1.58e-123","5.7e-228"
"23",369,"Aeschylus","Sophocles","Athenaeus","Odyssey","Iliad","Hesiod","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"24",370,"0.999999998","2.18e-09","5.92e-76","1.32e-79","6.23e-125","3.29e-210","1.23e-265","0","0","0","0","0"
"25",371,"Athenaeus","Sophocles","Aeschylus","Hdt","Odyssey","Iliad","Polybius","Plutarch","Thucydides","Hesiod","Diodorus","Lysias"
"26",372,"0.9950486","0.004926966","2.4e-05","4.57e-07","3.48e-09","2.17e-14","1.35e-52","5.38e-59","2.16e-95","1.75e-141","3.79e-168","4.58e-209"
"27",373,"Iliad","Odyssey","Hesiod","Aeschylus","Sophocles","Athenaeus","Hdt","Thucydides","Polybius","Diodorus","Lysias","Plutarch"
"28",374,"0.999999998","1.16e-09","8.42e-10","2.63e-21","2.09e-45","4.84e-64","8.31e-111","7.77e-195","5.46e-266","0","0","0"
"29",375,"Aeschylus","Sophocles","Athenaeus","Hesiod","Odyssey","Iliad","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"30",376,"0.999999898","1.02e-07","7.94e-53","2.62e-60","2.87e-66","5.58e-86","8.14e-304","0","0","0","0","0"
"31",377,"Hdt","Polybius","Athenaeus","Plutarch","Thucydides","Iliad","Odyssey","Sophocles","Aeschylus","Hesiod","Diodorus","Lysias"
"32",378,"0.993925007","0.006074993","4.83e-12","3.53e-13","4.37e-30","2.86e-45","5.04e-48","8.96e-51","3.17e-60","7.34e-72","1.49e-104","4.25e-128"
"33",379,"Aeschylus","Sophocles","Odyssey","Iliad","Athenaeus","Hesiod","Polybius","Diodorus","Hdt","Lysias","Plutarch","Thucydides"
"34",380,"1","3.23e-19","5.39e-39","2.17e-59","2.97e-66","2.78e-128","5.91e-257","0","0","0","0","0"
"35",381,"Polybius","Plutarch","Athenaeus","Hdt","Diodorus","Thucydides","Sophocles","Hesiod","Iliad","Aeschylus","Odyssey","Lysias"
"36",382,"1","1.83e-11","2.64e-19","5.94e-20","1.12e-28","5.12e-44","1.82e-62","8.75e-76","2.46e-93","2.46e-119","5.75e-125","2.09e-273"
"37",383,"Polybius","Diodorus","Plutarch","Hdt","Thucydides","Athenaeus","Sophocles","Iliad","Odyssey","Aeschylus","Hesiod","Lysias"
"38",384,"0.999999998","1.53e-09","3.1e-26","2.07e-35","1.05e-49","1.05e-60","2.49e-66","5.42e-72","2.82e-101","1.8e-111","3.81e-175","1.92e-217"
"39",385,"Aeschylus","Iliad","Odyssey","Sophocles","Hesiod","Hdt","Athenaeus","Thucydides","Polybius","Plutarch","Diodorus","Lysias"
"40",386,"0.985431792","0.014564314","3.89e-06","6.88e-22","1.97e-28","3.79e-37","1.61e-40","8.12e-119","6.19e-216","6.55e-248","0","0"
"41",387,"Sophocles","Iliad","Hdt","Hesiod","Aeschylus","Athenaeus","Diodorus","Lysias","Odyssey","Plutarch","Polybius","Thucydides"
"42",388,"1","2.69e-119","6.77e-152","1.94e-190","0","0","0","0","0","0","0","0"
"43",389,"Thucydides","Hdt","Plutarch","Odyssey","Iliad","Polybius","Athenaeus","Hesiod","Aeschylus","Lysias","Sophocles","Diodorus"
"44",390,"1","6.28e-22","2.48e-22","2.39e-40","3e-56","6.98e-63","1.42e-63","5.07e-84","1.44e-103","7.24e-105","1.44e-120","4.89e-124"
"45",391,"Plutarch","Athenaeus","Hdt","Polybius","Sophocles","Thucydides","Diodorus","Aeschylus","Odyssey","Iliad","Lysias","Hesiod"
"46",392,"1","1.21e-10","3.18e-12","4.3e-31","2.4e-43","5.15e-57","6.92e-65","7.94e-75","3.41e-88","8.81e-89","3.25e-110","3.17e-174"
"47",393,"Thucydides","Hdt","Diodorus","Plutarch","Odyssey","Polybius","Iliad","Athenaeus","Hesiod","Sophocles","Aeschylus","Lysias"
"48",394,"1","3.6e-17","9.41e-33","1.58e-38","5.94e-40","2.4e-54","2.09e-63","1.9e-92","3.37e-105","3.27e-124","2.37e-164","0"
"49",395,"Iliad","Hesiod","Odyssey","Aeschylus","Sophocles","Athenaeus","Hdt","Thucydides","Plutarch","Polybius","Diodorus","Lysias"
"50",396,"0.996438569","0.003561431","2.35e-15","8.92e-27","3.89e-40","4.89e-53","7.94e-84","1.42e-97","3.11e-140","5.67e-174","0","0"
"51",397,"Diodorus","Polybius","Plutarch","Hdt","Thucydides","Hesiod","Athenaeus","Iliad","Sophocles","Odyssey","Aeschylus","Lysias"
