"","Aeschylus","Athenaeus","DiodorusSic","Herodotus","Hesiod","Homer","Lysias","Plato","Plutarch","Polybius","Sophocles","Thucydides","-SUM-"
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Athenaeus",0,1,0,0,0,0,0,0,0,0,0,0,0
"DiodorusSic",0,0,2,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,0,4,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,0,1,0,0,0,0,0,2,0,2
"Homer",0,0,0,0,0,9,0,0,0,0,0,0,0
"Lysias",1,0,0,0,0,0,0,0,0,0,0,0,1
"Plato",0,0,0,0,0,0,0,0,0,0,0,0,0
"Plutarch",0,0,0,1,0,0,0,0,0,0,0,0,1
"Polybius",0,1,1,0,0,0,0,0,0,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,0,2,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,0,0,1
"-SUM-",1,1,2,1,0,0,0,0,0,0,2,0,7
