"","x"
"1","#-pred*v-"
"2","#-pred*v-"
"3","#-pred*v-*aux*df"
"4","#-pred*v-*aux*df"
"5","#-pred*c-*pred*v-"
"6","#-pred*c-*pred*v-"
"7","#-pred*v-*adv*r-"
"8","#-pred*v-*adv*r-"
"9","#-pred*c-"
"10","#-pred*c-"
"11","#-pred"
"12","#-pred"
"13","#-pred*v-*xadv*v-"
"14","#-pred*v-*xadv*v-"
"15","#-pred*v-*adv*g-"
"16","#-pred*v-*adv*g-"
"17","#-pred*v-*sub*nb"
"18","#-pred*v-*sub*nb"
"19","#-pred*v-*aux*c-"
"20","#-pred*v-*aux*c-"
"21","#-pred*v-*adv*df"
"22","#-pred*v-*adv*df"
"23","#-pred*v-*adv*g-*pred*v-"
"24","#-pred*v-*adv*g-*pred*v-"
"25","#-pred*v-*obj*nb"
"26","#-pred*v-*obj*nb"
"27","#-pred*v-*adv*r-*obl*nb"
"28","#-pred*v-*adv*r-*obl*nb"
"29","#-pred*v-*sub"
"30","#-pred*v-*sub"
"31","#-pred*c-*pred*v-*aux*df"
"32","#-pred*c-*pred*v-*aux*df"
"33","#-pred*v-*sub*nb*aux*s-"
"34","#-pred*v-*sub*nb*aux*s-"
"35","#-pred*c-*pred*v-*sub"
"36","#-pred*c-*pred*v-*sub"
"37","#-pred*v-*obl*pp"
"38","#-pred*v-*obl*pp"
"39","#-pred*v-*sub*pp"
"40","#-pred*v-*sub*pp"
"41","#-pred*v-*obl*r-"
"42","#-pred*v-*obl*r-"
"43","#-pred*v-*obj*nb*aux*s-"
"44","#-pred*v-*obj*nb*aux*s-"
"45","#-pred*c-*pred*v-*adv*r-"
"46","#-pred*c-*pred*v-*adv*r-"
"47","#-pred*c-*pred*v-*sub*nb"
"48","#-pred*c-*pred*v-*sub*nb"
"49","#-pred*aux*df"
"50","#-pred*aux*df"
"51","#-pred*v-*obj*pp"
"52","#-pred*v-*obj*pp"
"53","#-voc*nb"
"54","#-voc*nb"
"55","#-pred*c-*pred*v-*obj*nb"
"56","#-pred*c-*pred*v-*obj*nb"
"57","#-pred*v-*xobj*v-"
"58","#-pred*v-*xobj*v-"
"59","#-pred*c-*pred*v-*obl*r-"
"60","#-pred*c-*pred*v-*obl*r-"
"61","#-pred*v-*comp*g-"
"62","#-pred*v-*comp*g-"
"63","#-pred*v-*adv*r-*obl*nb*aux*s-"
"64","#-pred*v-*adv*r-*obl*nb*aux*s-"
"65","#-pred*sub*nb"
"66","#-pred*sub*nb"
"67","#-pred*c-*pred*v-*xadv*v-"
"68","#-pred*c-*pred*v-*xadv*v-"
"69","#-pred*c-*pred*v-*sub*nb*aux*s-"
"70","#-pred*c-*pred*v-*sub*nb*aux*s-"
"71","#-pred*c-*aux*c-"
"72","#-pred*c-*aux*c-"
"73","#-pred*v-*sub*ne"
"74","#-pred*v-*sub*ne"
